sampleID	sampleGroup
trimmed_19101-0001_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0002_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0003_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0004_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0005_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0006_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0007_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0008_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0009_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0010_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0011_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0012_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0013_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0014_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0015_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0016_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0017_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0018_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0019_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0020_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0021_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0022_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0023_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0024_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0025_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0026_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0027_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0028_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0029_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0030_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0031_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0032_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0033_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0034_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0035_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0036_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0037_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0038_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0039_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0040_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0041_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0042_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0043_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0044_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0045_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0046_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0047_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0048_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0049_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0050_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0051_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0052_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0053_SmallRNA.fastq.fastq	noGroup
trimmed_19101-0054_SmallRNA.fastq.fastq	noGroup
